NA NA NA NA NA NA NA NA NA NA NA 256.8478 257 257 NA NA 258 258.375 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA 256 256.1563 256.5313 257 257 257.5156 258 258.0781 258.8281 259 259.2813 259.9825 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 253.1795 NA NA 254.6765 255 255.1905 255.9219 256 256 256.5313 257 257 257.3594 257.9063 258.0625 258.9063 259 259.4531 260 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 252.9302 253 253.4219 254 254.0938 254.8438 255 255.1563 255.625 255.9844 256 256.4688 257 257 257.4688 257.9688 258.1563 258.9063 259 259.6406 260 260.2632 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
251.1 251.9063 252 252.4219 253 253 253.5781 254 254.0469 254.7344 255 255 255.3125 255.9531 256 256.3906 256.9844 257 257.625 258 258.1563 258.9063 259.0156 259.6719 260 260.4222 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 251.4531 252 252 252.5781 253 253.0156 253.4688 254 254 254.4063 254.9531 255 255.6406 256 256.0313 256.7656 256.9219 257.0156 257.3594 257.6563 258.1875 258.4063 259 259.7344 260.0156 260.5156 261 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 251.0546 251.9063 252 252.0156 252.5469 253 253 253.4219 254 254 254.2188 254.9531 255.0469 255.5625 256 256.0938 256.5313 256.3125 256.9688 257.0156 257.6719 258 258.2344 259.0156 259.7031 260 260.4063 260.9688 261.175 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 251.2881 252 252 252 252.4375 252.9844 253 253.2813 253.9219 254 254.1094 254.8281 255 255.3906 255.9531 256 256 256.2344 256.9219 257.0156 257.6719 258 258.8281 259.0156 259.5781 260 260.2969 260.9792 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 251 251.5 252 252 252 252.3281 252.9531 253 253.1563 253.6563 254 254.1094 254.7656 255 255.2188 255.6875 255.6563 256 256.1719 256.9063 257.0156 257.5781 258.0469 258.7031 259 259.4375 259.9844 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 251 251 251 251.6094 251.7344 252 252 252.1875 252.875 253 253 253.4375 253.9844 254.0313 254.5156 255 255.0156 255 255.5156 256 256.1563 256.8594 257 257.8281 258 258.4688 258.9844 259.2031 259.8393 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 251.0175 251.0781 251.5 252 252 252.0625 252.6875 253 253 253.1875 253.8125 254 254.2656 254.7656 254.8594 255 255.375 255.9844 256.0938 256.7813 257.0156 257.5625 258 258.2344 258.875 259.0417 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 250.65 250.6563 250.9844 251 251.2813 251.8594 252 252 252.1719 252.5781 252.9844 253.0156 253.4688 253.7813 254.0156 254.0625 254.7188 255 255.25 255.9375 256.0313 256.5781 256.9688 257.2656 257.75 258.0469 258.5 258.9333 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 250 250 250.6719 251 251 251.0781 251.7344 252 252 252 252.1719 252.7656 253 253.0156 253.5938 254 254.0469 254.6719 255 255.1406 255.8594 256 256.2031 256.8594 257 257.375 257.9375 258.2656 258.6935 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 250.0182 250.6719 251 251 251.0156 251.5313 251.9063 252 252 252.0156 252.3281 252.9531 253.0156 253.4375 253.9844 254 254.3281 254.9063 255.0313 255.375 255.9531 256.0313 256.5625 257 257.125 257.875 258 258.0781 258.3443 258.5 258.7805 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA 250.1875 NA 251 251 251.0156 251.2969 251.5313 251.6719 251.9844 252.2188 252.8594 253 253.25 253.75 254 254.1719 254.875 255 255.1719 255.8281 256 256.2188 256.7344 257.0625 257.4219 257.75 257.9844 258 258 258 258 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 250 250 250 250.1333 250.4068 250.9531 250.9844 251.0156 251.25 251.4063 251.7188 251.9844 252.0156 252.3906 252.9688 253 253.3594 253.9531 254.1094 254.4531 254.9531 255 255.4688 256 256 256.7188 256.8438 257 257.0781 257.2969 257.4688 257.4375 257.2031 257.3125 257.3125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 249 249.5 249.9844 250 250 250 250.0938 250.3438 250.7031 251 251 251.25 251.9844 252 252.0625 252.75 253 253 253.2344 253.9063 254 254.25 254.8906 255 255.2656 255.9063 256.0156 256.0313 256.4219 256.7188 256.9531 257 257 257 257 256.9038 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 249 249 249.2969 249.8438 250 250 250 250 250.2969 250.9531 251 251 251.2344 251.8438 252 252 252.4375 252.9844 253 253.1094 253.5469 253.875 254.0313 254.6406 254.875 255.0156 255.8594 256 256 256 256 256.2813 256.2969 256.2813 256.2727 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
