NA NA NA NA NA NA NA NA NA NA NA 106 105.9231 105.5 NA NA 105 105.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA 106 106 105.4844 105.0313 105 105 105 105.25 106 106 106 106 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 105 NA NA 105.9706 106 106 106 105.5313 105 105 105 105 105 105.2344 105.8906 106 106 105.9531 106 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 105 105 105 105 105.5313 106 106 106 105.5 105 105 105 105 105 105 105.0469 105.3438 105.5313 105.3281 105.5625 105.3077 105 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
105 105 105 105 105 105 105 105 105.3125 105.8594 106 105.5 105 105 105 105 105 105 105 105 105 105 105 105 105 105 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 104.375 104.375 104.375 104.6406 105 105 105 105 105 105.2813 105.1875 105 105 105 105 105 104.8438 104.375 104.375 104.375 104.375 104.375 104.375 104.8594 104.7969 104.6719 104.4063 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 104 104 104 104 104.625 104.7813 104.4688 104.7344 105 104.9375 104.9063 105 105 105 105 105 104.75 104 104 104 104 104 104 104 104 104 104 104 104 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 104 104 104 104 104 104 104 104.0938 104.1875 104.5156 104.8125 104.6875 104.9063 104.9063 104.8281 104.75 104 104 104 104 104 104 104 104 104 104 104 104 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 104 104 104 104 104 104 104 104 104 104 104 104 104 104 104 104.0938 104 104 104 104 104 104 104 104 104 104 104 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 103.9714 103.8571 103.9231 104 104 104 104 104 104 104 104 104 104 104 104 104 104 103.9063 104 104 104 104 103.9531 104 104 103.7969 103.5 103.2031 103 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 104 104 104 104 104 104 104 104 104 104 104 104 104 103.75 103.0625 103.0781 103.1875 103.3594 103.2656 103.0313 103.25 103.0781 103 103 103 103 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 103.3167 103.625 103.2813 103.25 103.25 103.25 103.25 103.1875 103.375 103.625 103.625 103.5313 103.5313 103.625 103.4688 103 103 103 103 103 103 103 103 102.9531 102.6406 102.625 102.375 102.0167 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 102.7344 102.1094 102 102 101.9844 101.7188 101.0968 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 102.8182 102.9375 103 103 103 103 103 103 103 103 102.7813 102.9844 103 103 103 103 102.875 102.9531 103 102.125 102 102 102 101.9531 101.3125 101 100.9063 100.1719 99.83607 99.02273 98.63415 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA 102 NA 102.2453 102.2031 102.3906 102.3281 102.375 102.3125 102.1094 102.2344 102.8281 103 103 102.8906 102.6875 102.5469 102.8594 102 102 102 101.8906 101.1406 101 100.8906 100.1563 99.84375 99.09375 98.5625 97.89063 97 96.06667 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 102 102 102 102 102 102.0469 102.1094 102.2188 102.3125 102.1406 102.3125 102.0938 102.1563 102.1406 102.3125 102.1719 102.3125 102.7656 102.0938 102 102 101.9531 101.1406 101 101 100.1563 99.78125 99.14063 98.67188 97.95313 97.15625 96.35938 95.25 94.34375 93.46875 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 102 102 102 102 102 102 102 102 102 102 102 102 102 102.0938 102.4375 102.8125 102.6094 102.1719 102 102 102 102 101.75 101 101 100.5781 100 99.3125 98.67188 98 97.23438 96.54688 95.60938 94.625 93.70313 92.73077 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 101.86 101.6406 101.7656 101.875 101.875 101.875 101.9375 102 102 102 102 102 102 102 102 102 102.1563 102.1406 102 102 102 102 101.3281 101 100.5625 100 99.84375 99 98.14063 97.35938 96.65625 95.82813 94.92188 93.95313 93.06818 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 101 101 101 101 101 101.0469 101.625 101.9688 102 102 102 102 102 102 102 102 102 102 102 102 102 101 101 100.1875 99.9375 99.04688 98.76563 98 97.17188 96.1875 95.1875 94.14063 93.26563 92.31148 91.22222 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 100.6939 101 NA NA NA 101 101 101 101 101.1563 101.6563 101.9531 102 102 102 102 102 102 102 102 102 102 102 101 100.9219 100 99.48438 98.96875 98.17188 97.375 96.65625 95.78125 94.65625 93.375 92.54688 91.60345 90.46154 89.46342 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA 101 101 101 101 101 101 101.2188 101.5313 101.8438 102 102 102 102 102 102 102 102 101.5 100.8281 100.4219 99.96875 99.15625 98.6875 97.875 97.01563 96.03125 95.07813 94.14063 93.07813 91.90625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA 100.0833 100.375 100.7813 101 101 101 101 101 101 101.0313 101.3438 101.7813 101.9375 101.9688 102 101.8594 101.5938 101.3594 100.9375 100.3594 99.85938 99.48438 98.9375 98.17188 97.4375 96.5625 95.65625 94.70313 93.625 92.5625 91.21875 89.76271 88.58334 87.4375 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA 99.9434 99.98438 99.98438 100.125 100.25 100.5156 100.9688 100.8906 101 101 101 101 101 101.0625 101.25 101.0313 101 100.7969 100.2188 99.98438 99.48438 98.85938 98.32813 97.79688 96.92188 96.125 95.23438 94.28125 93.125 92 90.92188 89.51563 88.25 86.71875 85.54099 NA NA NA NA NA NA NA NA NA NA NA NA 65.30769 NA NA NA NA NA NA NA 
