NA NA NA NA NA NA NA NA NA NA NA 339 338.8462 338.2174 NA NA 337.975 337.5833 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA 339 338.6875 338.0313 338 338 337.75 337.125 337.125 337.1406 337 336.9219 336.2632 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 339.1026 NA NA 339 339 338.9683 338.7969 338.2656 338 337.8281 337.375 337 337 336.8906 337 336.8125 336.1406 336 335.9492 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 339 339 339 339 338.8906 338.5469 338.0781 338 337.7813 337.3125 337 337 336.9844 336.5781 336.1719 336.2813 336.0156 336 335.8438 335.2031 335 335 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
339 339 339 339 338.7969 338.3125 338.125 338 338 338 337.875 337.3281 337 336.9688 336.4844 336.0938 336 336 336 335.9688 335.4688 335.0625 335 334.9531 334.5 334 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 338.4375 338.3125 338.1406 338 338 337.9844 337.8594 337.6094 337.2344 337 337 336.9375 336.5625 336.0938 336 336 335.75 335.375 334.9688 334.3906 334.375 334.375 333.9375 333.6719 333.375 333.375 332.9375 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 338 338 338 337.9531 337.5938 337.1406 337 337 337 336.875 336.3906 336.25 336 336 335.9688 335.6406 335.1719 334.4844 334.0625 334 334 333.6719 333.0469 333 333 332.8906 332.0938 332 332 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 337.6271 337.3125 337.0156 337 337 336.8594 336.375 336.25 336.0469 336 335.9688 335.6719 335.375 335.0625 335 334.75 334 334 333.9375 333.4219 333 333 333 332.9531 332.1875 332 332 331.7083 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 337 336.9844 336.8125 336.5469 336.2344 336 336 336 335.7031 335.4219 335.0781 335 335 334.9531 334.6875 334.3125 333.8594 333.3594 333.0313 333 333 333 332.9531 332.2344 332 332 331.9375 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 336.8857 336.5102 336.1346 336 336 335.9531 335.6875 335.3594 335.0781 335 335 334.8594 334.5156 334.2813 334.0313 334 333.7813 333 333 333 333 332.9844 332.4531 332.2969 332 332 332 331.3594 331 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 335.2982 335.1875 335.0313 335 335 334.8438 334.5625 334.2031 334 334 334 333.9219 333.7188 333.4219 333 333 332.9844 332.75 332.25 332 332 332 332 331.8125 331 331 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 335 335 334.7188 334.5625 334.3594 334.0938 334 334 333.8125 333.6094 333.375 333.125 332.9375 332.8438 332.7188 332.5938 332.3281 332.0781 332 332 332 332 332 332 331.625 331.0156 331 331 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 334.3333 334.1147 334 333.9219 333.8594 333.7031 333.5625 333.375 333.125 332.9688 332.6563 332.2656 332.0156 332 332 332 332 332 332 332 332 332 332 332 331.7031 331 331 331 330.6452 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 333.1091 333 333 333 333 333 332.6406 332.0469 332 332 332 332 332 332 332 332 332 332 332 332 332 331.9844 331.4688 331 331 331 330.6875 330 329.918 329 329 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA 332.25 NA 332.1698 332.1406 331.8906 331.625 331.5938 331.5313 331.4219 331.4688 331.9375 332 332 332 332 331.9844 332 332 332 332 331.6719 331 331 331 330.8281 330 330 329.0625 328.9844 328.0417 327.0889 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 331.3721 331.3922 331.5424 331.5555 331.6102 331.875 331.5625 331.3594 331.5 331.3281 331.375 331.1406 331.5156 331.4844 331.75 331.4688 331.6719 332 332 332 332 332 331.6719 331.1406 331 331 330.8281 330.0469 330 329.2813 329 328.2031 327.1563 326.625 326.0313 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
