NA NA NA NA NA NA NA NA NA NA NA 241 240.9808 241 NA NA 241 241 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA 241.1091 241.3438 241.375 241.4688 241.5469 241.625 241.7188 241.8281 241.7656 241.8438 242 242 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 241 NA NA 241.6765 241.84 241.9206 242 242 242 242.0469 242.1875 242.25 242.25 242.2813 242.25 242.4063 242.5156 242.6719 242.8983 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 241.3488 241.4688 241.7656 242 242 242.1719 242.375 242.5469 242.7344 242.9375 243 243 243 243 243 243 243 243 243.1406 243.3125 243.5577 243.7895 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
241.225 241.5625 241.875 242 242.0469 242.2344 242.6094 242.9375 243 243 243.0625 243.25 243.4531 243.6094 243.6719 243.875 244 243.9063 243.7656 243.8438 243.9688 244 244 244 244 244 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 242 242.1094 242.6094 242.9844 242.7656 242.8281 243 243.0625 243.25 243.3438 243.4375 243.625 243.9531 244 244 244 244 244 244 244.0469 244.125 244.25 244.5781 244.3906 244.7031 244.9375 245 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 242.8182 243 243.0469 243.2969 243.125 243 243.1094 243.4219 243.8125 244 243.9688 244 244 244.0313 244.2188 244.4063 244.6406 244.8125 244.9531 244.9844 245 245 245 245 245 245 245 245 245 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 243.5932 243.9688 244 243.6719 243.8594 244 244 244.0156 244.375 244.5 244.4844 244.75 245 245 245 245.0313 245.125 245.2813 245.3281 245.3906 245.5 245.5 245.3281 245.4375 245.5 245.6406 245.7656 245.8958 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 244.0952 244.3906 244.7813 244.25 244.1094 244.4375 244.7656 244.9844 245 245 245 245.0781 245.2656 245.4844 245.7031 245.8906 246 246 246 246 246 246 246 246 246 246 246 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 244.7714 244.9796 245 245.1719 244.9219 245 245 245.0469 245.3594 245.6719 245.6719 245.7031 246 246 246 246 246.1719 246.4688 246.5 246.5313 246.5781 246.5625 246.5 246.2188 246.125 246.125 246.2344 246.25 246.4464 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 246 245.25 245.2656 245.6406 245.9688 246 246.0156 246.0938 246.0156 246.2813 246.5938 246.8125 246.9688 247 247 247 247 247 247 247 247 247 247 247 247 247 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 245.7167 246.1719 246.0313 246 246 246.2188 246.5313 246.9063 246.7813 247.0781 247.375 247.375 247.375 247.375 247.5 247.75 247.6094 247.5313 247.3438 247.3438 247.2656 247.2813 247.0938 247 247 247 247 247.7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 245.5625 246 246.0156 246.3438 246.8438 247 247 247.0625 247.625 248 248 248.0156 248.2344 248.0938 248 248 248 248 248 248 248 248 248 247.9688 247.75 247.5781 247.4844 247.8438 248 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 246.7636 247 247 247.0469 247.5469 247.9375 248 248.0313 248.4375 248.9063 249 249 248.7969 248.4844 248.0781 248.0156 248.0313 248 248 248 248 248 248 248 248 248 248 248 248 247.7955 247.0244 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA 247.1875 NA 248 248 248 248.3125 248.5781 248.6719 248.8438 248.8125 248.9844 249 248.9063 248.4531 248.1875 248 248 248.0156 248 248 248 248 248 248.0469 248 248 248 248 247.625 247 247 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 247.3954 247.8824 247.983 248 248 248.125 248.5625 248.9375 248.9375 248.8594 248.9531 248.9844 248.8281 248.875 248.8438 248.5938 248.625 248.9688 248.8281 248.75 248.5313 248.1875 248 248 248 248.5313 248.0625 248.0469 248 248 248 247.3125 246.8594 246.4063 246.0469 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 247.0566 247.8438 248 248 248.0625 248.3594 248.4844 248.8594 248.9844 249 249 249 249 249 249 249 249 248.9844 248.9531 249 249 249 248.9844 248.5781 248.1719 248.6094 248.9063 248.7344 248.1875 248 248 248 247.5 247 246.9531 246.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 247.98 248.0938 248.2031 248.7031 248.9688 249 249.125 249.125 249.125 249.2031 249.2344 249.1875 249.2344 249.0313 248.75 248.75 248.75 248.75 248.75 248.75 248.75 248.75 248.75 248.75 248.6719 248.7344 248.8438 248.875 248.7656 248.2344 247.9219 247.875 247.7344 246.9219 246.8409 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 248.9682 249.3594 249.5938 249.7969 249.9531 250 250 250 250 250 250 250 249.25 247 247 247 247 247 247 247 247 247 247 247 247 247.75 248 248 248 247.7813 247.2031 246.7031 246.0313 246 246 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 248.3265 248.2059 NA NA NA 250 250 250 250 250 250 250 250 250 249.25 247 247 247 247 247 247 247 247 247 247 247 247 247.75 248 248 248 248 247.3438 246.5938 246 246 246 245.9756 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA 250.2344 250.25 250.25 250.3125 250.2656 250.0781 250.0313 250 250 249.25 247 247 247 247 247 247 246.9688 246.7656 246.7031 246.9844 247 247 247.75 248 248 248 247.7969 247.1563 247 246.3906 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA 251 251 251 251 251 251 250.9375 250.875 250.7031 250.3906 249.3438 247 247 247 247 246.8906 246.5781 246.5313 246.7031 246.3906 246.6094 246.9844 247 247.75 248 248 248 248 247.4688 246.9219 246.2188 245.9661 245.6667 245.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA 251 251 251 251 251 251 251 251 250.8438 250.8281 249.8438 246.5469 246.4531 246.6719 246.7813 246.1719 246.5 246.2656 246.0625 246.1563 246.5156 246.4375 246.8594 247.7188 248 248 248 248 247.3906 246.9844 246.75 246.0938 245.8906 245.25 245.082 NA NA NA NA NA NA NA NA NA NA NA NA 241.4038 NA NA NA NA NA NA NA 
NA NA NA NA NA NA 251.881 251.2188 251.0781 251.1406 251.0938 251.0938 251 251 251 251 251 249.75 246 246 246.0313 246 246 246.1563 246.4219 246.1406 246.1719 246.3438 246.3438 246.4531 247.5781 248 248 248 248 247.5625 247 246.8125 246.7031 246.0156 245.4688 245.2188 245.0781 245 244.5397 244.1864 243.9 243.3333 NA NA NA NA 242.8246 242.9063 242.75 242.2031 242.225 NA NA NA NA NA 
NA NA NA NA NA NA 251.125 251.0469 250.9063 250.8438 250.8125 250.8906 251 251 250.9531 250.8906 250.8594 250.5313 249.7344 249.5 249.5 249.5 249.5 249.2969 249.5 249.4844 248.7813 248.6406 248.625 248.625 250.125 250.5156 250 249.9063 249.75 249.4531 248.8438 248.7031 248.0313 247.75 247.1719 246.75 246.25 246.4219 246.0156 246.1094 245.625 244.9531 NA NA NA 243.3542 243.9531 243.5313 242.8906 242.5625 242.1915 242 241.8983 NA NA NA 
NA NA NA NA NA 252.0781 251.125 251.0781 251 251 251 251 251 250.9219 250.8906 250.875 250.9688 251 250.8281 250.2031 250 250 250 250 250 250 249.4063 249 249.1719 249.2813 250.6875 251 250.8906 250.5781 250.1563 249.9063 249.4375 248.9688 248.5625 248.125 248 247.4531 246.7344 246.7969 246.3594 246.3906 246.4531 245.7813 244.8361 NA 243.6364 244.6719 244.6875 243.5781 243 243 NA NA NA NA NA NA 
NA NA NA NA NA 252.1094 251.75 251.8125 251.6875 251.0625 251 251.125 251.2031 251.5 251.1094 251 251 251 250.8906 250.8438 250.5313 250 249.9375 249.9375 250 250 249.7656 249.7344 249.2344 249.25 250.8125 251.0469 251 250.75 250.8906 250.0938 249.5 249 248.9219 248.5 248 248.0156 247.5313 246.7969 246.8594 246.4844 246.625 246.5313 246 244.75 244.3594 245.1094 244.8438 244.0938 243.5932 NA NA NA NA NA NA NA 
NA NA NA NA 255.5758 252.6719 252.1875 252.0625 251.7813 251.6563 251.1719 251.1719 251.4375 251.9375 251.6875 251.5 251.0781 251 250.9375 250.9531 250.5313 250.3906 250.375 250.0156 250 250 250 250 249.9063 249.3281 251.2656 251.3125 251 250.9844 251 250.5781 249.5625 249 249 248.8594 248.125 248.2969 248.0313 247.7188 247.1875 247.2344 246.9063 246.8438 246 245.7031 244.7188 245.4844 245.0313 244.75 244.375 244 NA NA NA NA NA NA 
NA NA NA NA NA 252.4706 251.5893 251.6786 252.2031 252.1406 251.5938 251.7969 251.9531 251.9844 251.7344 251.4219 251.0313 251 251 251 250.9531 250.5625 250.3594 250.3125 250.5781 250.3281 250.1406 250 249.9219 249.9844 251.5 251.9063 251.5469 251.0625 251 250.8281 249.8906 249.1875 249 248.9375 248.2031 248.0625 248.2188 248.0469 248.1094 247.9375 247.7344 247.6719 246.5156 245.7813 245.875 245.9375 245.5 245.2813 244.9063 244.4531 244.8781 NA NA NA NA NA 
NA NA NA NA NA NA NA NA 251.8525 252.0625 252.2813 252.8281 252.9531 252.375 252.3125 251.7031 251.4375 251.3594 251.2656 251.0469 251 250.7344 250.6875 250.4844 250.6406 250.7344 250.8281 250.1406 249.9688 250 251.5 251.8281 251.6094 251.1563 251 250.9375 250.0625 249.5469 249.2031 249.0625 248.7969 247.8125 248.3438 247.9844 247.8906 248.0938 248.2813 248.0469 247.1563 246.5781 246.3594 246.2813 246.0156 246 245.3281 244.8438 245 245 NA NA NA NA 
NA NA NA NA NA NA NA NA NA 249.8958 250.125 252.7656 254.6094 253.8438 253.3594 252.4531 252.3438 252.1719 251.9531 251.6563 251.2813 251.0938 250.7344 250.7656 250.7031 250.8438 250.3594 249.9688 249.8906 250 252.0469 252.1406 251.9844 251.3594 251 251 250.4219 249.6406 249.0313 249.0781 249.0625 248.2969 249.2188 248.9688 248.5938 248.7188 248.7031 248.0781 247.4219 247 246.8125 246.8906 246.3281 246.1406 245.8438 245.4844 245.1719 NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA 248.1081 251.0175 254 253.9375 254.0313 253.375 253.125 253.3594 253.4219 253 252.7969 252.3281 251.7188 251.5938 251.4531 251.0938 250.8906 250.5313 250.3438 250 252.2188 252.7344 251.9844 251.875 251.3438 250.9531 250.375 249.7344 249.5625 249.0313 248.875 248.7969 248.9688 249.6719 249.5625 249.8594 248.7813 247.8125 247.7344 246.875 246.8906 246.9688 246.3438 246.4063 245.5156 245.375 245.541 NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA 252.9355 253.3594 254 253.6563 253.125 253.4844 253.7188 253.1406 252.9063 252.5938 252.4219 251.8281 251.1719 251.1563 250.7656 250.8438 250.625 250.2344 252.25 252.8281 252.2031 252.0938 251.5781 251 250.0469 249.5781 249.0469 249.0313 249.0313 249.2188 249.6875 249.9063 250.2031 250 249.2188 247.5781 247.9219 247.1875 246.9844 246.6875 246.3281 246.4032 246.3954 246.1471 NA NA NA NA NA NA 
NA NA NA NA NA NA NA 250.1803 249.5 249.5938 248.5 251.1774 253.7031 253.7031 254.2344 253.6875 253.5938 253.25 253.2188 253.2188 252.6719 252.625 252.2031 252.0313 251.8281 251.875 251.1719 251 250.6563 250.0156 252.3594 252.9375 252.5938 252.1563 251.2813 251 250.4531 249.6719 249.2188 249 249.0781 249.25 249.8281 250.2031 250.0156 249.6094 248.7188 247.9219 248 247.5781 247.25 247 246.9375 246.8909 NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA 251.5882 251.3438 251.9063 251.3125 253.0938 255.3281 255.25 254.5781 254.1094 253.7188 253.7344 253.9375 253.0156 252.7969 252.6094 252.4219 252.3438 252 251.875 251.5313 251.1406 250.5156 250 252.75 253.3906 252.6563 252.0938 251.8125 251.0469 250.3594 249.375 249.5625 249.0313 248.9844 249.0781 249.2656 249.8594 249.2188 248.3281 248.0156 248 248 247.7031 247 247 247 247.2632 NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA 251.3846 251.3651 251.0938 253.9375 256.3438 255.5469 255.4219 254.6563 253.7969 253.9688 253.9844 253.7969 253.0781 252.9531 252.7031 252.2656 252 252 251.9688 251.3906 251.0156 250 252.7969 253.8125 253.3594 252.3594 251.9063 251.2188 250.7344 249.3125 249.8438 249.0313 249.0469 248.8594 248.9688 248.8438 248.4531 247.9688 247.8906 247.9844 248.0781 247.7188 247.2813 247 247.0469 NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA 250.4286 253.4375 255.0313 254.3281 253.8906 253.5625 252.6563 252.4219 252.2188 252.0625 252.2656 251.4688 251.5156 251.6563 251.75 251.625 251.5625 251.0156 250.7031 250.1094 253.0625 253.8281 253.4531 252.7188 252.2188 251.6719 250.6875 249.9375 250 249.1563 249.0469 249 248.8438 248.8906 248.6719 248.8594 248.8594 248.3438 248.0781 247.8281 247.3906 247.4688 247.1563 247.7568 NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA 250.5 251.5 251.6875 250.9219 250.4375 249.7031 250 249.75 248.9375 249.4531 249.25 249.4688 249.3438 251.1875 250.75 250.3594 250.0156 250.0156 249.9688 252.9844 253.625 253.1094 252.7344 252.0781 252 251.2188 250.1563 249.9531 249.3438 249.7188 249.5781 249.2188 249.125 248.2031 248.2031 248.5938 248.5156 248.6094 247.9063 248.0781 247.5625 247.7656 248.2069 NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA 249.1778 249.9219 250.9219 251.3906 251.6563 251.0938 250.5469 250.6094 250.1875 249.3438 249.4063 249.7969 250.2031 250.5781 252 250.6406 250.4219 250.6875 250.3125 249.9688 252.9063 253.6875 253.0938 252.8906 252.4531 251.9688 251.3125 250.7344 249.9688 249.6719 249.3281 249.6719 249.0781 248.8281 248.5156 248.2813 248.3594 248.4844 248.2031 248.0781 248 247.7188 248.0313 248.4219 248.7188 NA NA NA NA NA NA NA 
NA NA NA NA NA NA 250.2727 250.3125 249.3889 249.3542 249.1017 249.5781 250.3281 250.9219 251.6719 251.8594 251.5938 251.6094 251.125 250.4063 250.1875 249.8125 250.6406 251.25 253.1563 252 250.3594 250.7031 251.1563 251.5469 254.4688 254.625 253.5625 253.0625 252.6406 252.0156 251.4688 251 250.4219 250.0156 249.6875 249.5469 249.2344 248.7656 248.7656 248.7813 249 249.1563 248.9063 248.2969 247.7656 247.9688 248.1719 248.9531 249.4531 NA NA NA NA NA NA NA 
NA NA NA NA NA NA 250.6531 249.875 250.3281 250.5 251.125 249.9219 249.75 250.8125 251.5938 251.8281 251.8438 252.625 251.9531 251.0938 250.6563 250.6094 251.4844 250.9844 252.8438 251.5781 250.9688 250.8281 251.2031 252.4375 255.2813 255.4688 254.7344 253.6719 253.0156 252.2656 251.5 251 250.625 250.0938 250 249.5938 249.375 248.8906 248.375 248.25 248.1719 248.1094 248.1094 247.8906 248.3594 248.6719 248.1875 248.6406 249.4531 250.475 NA NA NA NA NA NA 
