NA NA NA NA NA NA NA NA NA NA NA 129.5652 130 130 NA NA 131 131 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA 129 129.5 130 130 130 130.3125 130.875 131 131 131.125 131.9063 132 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 128 NA NA 128 128.02 128.6984 129 129.125 129.75 130 130 130 130.0938 130.8438 131 131 131.2188 131.9688 132 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 127.4884 127.9688 127.5156 127.9219 128 128 128 128.4375 128.9688 129.0313 129.5156 129.9688 130 130 130.0469 130.7969 131 131 131.3594 132 132 132 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
126.9 127 127 127 127.1094 127.0469 127.2344 127.8125 128 128 128 128.5 129 129 129.2813 129.9531 130 130 130.2969 130.9063 131 131 131.5625 132 132 132 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 126.2813 126.375 126.375 126.4375 126.9219 127 127 127.3125 127.6563 128 128.1406 128.3594 128.375 128.7031 129.1406 129.375 129.375 129.6719 130.125 130.375 130.4219 130.9531 131.3281 131.375 131.375 131.9063 132.1563 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 126 126 126 126 126.3281 126.8281 127 127 127 127.2031 127.4219 127.9531 128 128 128.4375 128.9844 129 129.0469 129.6875 130 130 130.2813 130.9844 131 131 131.3438 132 132 132 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 125.6271 125.8906 126 126 126 126.2969 126.6094 126.9219 127 127 127.0938 127.7344 128 128 128.2344 128.9063 129 129 129.6719 130 130 130.375 131 131 131 131.6875 132 132 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 125 125.0313 125.2813 125.7969 126 126 126 126.2031 126.5625 126.9844 127 127.0625 127.5938 128 128 128.2031 128.9063 129 129.0469 129.7656 130 130 130.5938 131 131 131.1875 131.9219 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 124.9714 124.8163 124.8846 125 125 125.2344 125.5938 125.9375 126 126 126.2813 126.7813 127 127 127.3438 127.9531 128 128.0938 128.8438 129 129.0469 129.7969 130 130.0469 130.8594 131 131 131.3438 132 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 124.3158 124.7344 125 125 125.0469 125.4375 125.9063 126 126.0156 126.4531 126.9688 127 127.1563 127.8594 128 128.0625 128.8125 129 129.0938 129.8438 130 130.1719 130.9531 131 131.0313 131.6042 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 123.65 123.625 123.9219 124.1563 124.5156 124.625 124.7813 125.0313 125.4375 125.625 125.8906 126.1875 126.625 126.8125 127.125 127.8125 128 128.0625 128.7344 129 129.125 130 130 130.4063 131 131 131.1094 132.7333 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 122.9792 123 123.0938 123.375 123.8438 124 124 124.3438 124.8906 125 125.0781 125.75 126 126.0156 126.6563 127.0469 127.7656 128 128.0781 128.8594 129 129.625 130 130 130.5625 131 131 132.1875 133 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 122.7273 122.9375 123 123.2656 123.7969 124 124.0313 124.5469 124.9844 125.0156 125.4219 125.9531 126.2344 127 127.0156 127.5469 127.9844 128.1563 128.875 129.0313 129.75 130 130 130.8438 131 131.75 132.8125 133 133 133.2727 134 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA 122.3438 NA 123 123.1406 123.4688 123.7031 124.0469 124.4844 124.7656 125.2031 125.8281 126.5625 127 127.0469 127.5313 128 128.25 129 129.0469 129.8438 130 130.0781 130.8125 131.75 132.3125 133 133 133 133.8125 134 134 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 121.2093 121.2745 121.7627 122 122.2034 122.8125 122.9844 123.2813 123.8594 123.9844 124.3594 124.875 125.2031 125.9688 126.125 126.7188 127.0625 127.8594 128 128.75 129 129.1719 129.9219 130 130.7188 131.75 132 132.8281 133 133 133.4844 134 134 134.1563 134.4844 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 120.4151 120.6094 120.9688 121 121.2031 121.9219 122 122.0156 122.8125 123.0313 123.5156 124 124.3281 125.0469 125.7969 126 126.5313 127 127.1719 127.9531 128.125 128.9688 129 129.4688 130 130.2031 131.75 132 132.2813 132.9375 133 133.1094 133.9688 134 134.25 134.6346 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 119.8 119.8906 120.0313 120.5469 120.8906 121.0938 121.625 121.9063 122.0938 122.7813 123 123.5938 123.9375 124.4531 125.0625 125.7656 126.0156 126.7656 126.9219 127.4688 128 128.4375 128.9844 129.0313 129.7813 130 131.5 132 132 132.5938 133 133 133.7344 134 134.0455 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 119 119.2031 119.7031 120 120.3125 120.9375 121.0156 121.4531 122 122.2969 122.9688 123.0313 123.9375 124.3281 125 125.2969 126 126.2031 126.9844 127.7656 128 128.5625 129 129.0625 129.8906 130.8438 131.8594 132 132.5781 133 133 133.0156 133.8438 134 134 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 117.9592 118.1471 NA NA NA 119.4915 119.9844 120.1406 120.8594 121 121.4219 122 122.375 123 123.4063 124 124.7188 125 125.7188 126 126.625 127.2969 128 128.0625 128.9063 129 129.4219 130.75 131.2031 132 132.2188 132.9844 133 133 133.3281 134 134 134.4878 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA 118.9844 119.2031 119.9063 120.0156 120.625 121 121.5625 122 122.5938 123.0625 123.875 124.0781 124.8906 125.0781 125.9375 126.1719 127 127.375 127.8906 128.4063 129 129.0938 130.7188 131.0781 131.9375 132 132.2031 132.9688 133 133.3594 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA 118 118.2656 118.9531 119.1563 119.8438 120 120.5156 121.0156 121.6406 122.0313 122.8594 123.2031 123.9844 124.3438 125 125.4219 125.9531 126.4844 127.0469 127.3281 127.9063 128.7813 129 130.4844 131 131.6563 132 132.1406 132.9844 133 133.2031 133.1186 133.8125 134 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA 117.2453 117.6875 118.0625 118.6875 119 119.5313 120 120.5469 121.0469 121.6406 122.2188 123 123.4219 124 124.625 124.9375 125.6875 126.0156 126.4063 127 127.7188 128.1563 128.8125 130.0938 130.8906 131.2969 132 132 132.4375 132.9844 133.25 133.7813 133.8906 134.0156 134.3115 NA NA NA NA NA NA NA NA NA NA NA NA 138.5192 NA NA NA NA NA NA NA 
NA NA NA NA NA NA 116.2381 116.5938 117.0156 117.4219 118 118.8438 119 119.5781 120.0156 120.8125 121.1719 122 122.4688 123.0156 123.8281 124.0313 124.7656 125.2188 125.8125 126.1094 126.9375 127.2656 127.8438 128.1719 129.6563 130.6719 131.0313 131.9063 132 132.3906 132.8906 133.2031 134 134 134.0156 134.4063 134.6875 135.2063 135.5714 135.5932 136 136 NA NA NA NA 138.6667 139.5 139.9219 139.3438 139.825 NA NA NA NA NA 
NA NA NA NA NA NA 115.6094 116 116.2188 116.9375 117.3906 117.9844 118.2813 119.0313 119.5781 120.125 121.0156 121.3281 121.5625 122.125 122.7031 123.1406 123.9375 124.1406 124.8594 125.375 125.5313 126.125 126.4688 127.2031 128.4375 129.125 129.5156 130.2188 130.9375 131.1406 132.0625 133.2031 133.9844 134.0938 134.1563 134.2344 134.5625 135.4063 135.8906 136.5781 136.8125 136.7969 NA NA NA 138.1875 139.3281 139.5781 139.4531 139.2344 139.6808 140 140 NA NA NA 
NA NA NA NA NA 114.1406 114.8281 115.5781 115.9531 116.375 117.0781 117.5781 117.9375 118.5469 119.0156 119.7188 120.4688 120.9688 121 121.7031 122.0469 122.7656 123.1406 123.9219 124.3594 124.9688 125.0469 125.4688 126.2656 126.9844 127.9219 128.9688 129.0938 129.7813 130.5313 131 132.0156 133 133.6563 133.9375 134.5938 134.75 134.7031 135.2813 135.7813 136.4375 137.1563 137.2344 136.8689 NA 137.3939 138.9844 139.7656 139.25 139.0536 139.5957 NA NA NA NA NA NA 
